Distributor,Name,URL ,Dosage (mg),Per Measure,Measure,Dosage per measure,Product Image,,,,,Amazon Associate ID 
CVS,"Nature's Bounty Zinc Immune Health Caplets, 50 mg, 100 CT",https://www.cvs.com/shop/nature-s-bounty-zinc-immune-health-caplets-50-mg-100-ct-prodid-149928,50,1,capsule,50,"https://www.cvs.com/bizcontent/merchandising/productimages/large_im/74312020605.jpg?im=Resize=(300,300)",,,,,
CVS,"CVS Health Zinc Tablets, 200 CT",https://www.cvs.com/shop/cvs-health-zinc-tablets-200-ct-prodid-513141,50,1,capsule,50,https://www.cvs.com/bizcontent/merchandising/productimages/large/50428649473.jpg,,,,,
CVS,"Nature's Truth Essential Iron + B-Vitamins, Zinc Gummies, 60 CT",https://www.cvs.com/shop/nature-s-truth-essential-iron-b-vitamins-zinc-gummies-60-ct-prodid-737266,1.5,3,gummies,0.5,"https://www.cvs.com/bizcontent/merchandising/productimages/large_im/840093116611.jpg?im=Resize=(300,300)",,,,,
CVS,"Nature's Bounty Zinc Immune Support Gummies, 30 mg, 70 CT",https://www.cvs.com/shop/nature-s-bounty-zinc-immune-support-gummies-30-mg-70-ct-prodid-456291,30,2,gummies,15,"https://www.cvs.com/bizcontent/merchandising/productimages/large_im/74312008221.jpg?im=Resize=(300,300)",,,,,
CVS,"CVS Health Organic Zinc Gummies, 60 CT",https://www.cvs.com/shop/cvs-health-organic-zinc-gummies-60-ct-prodid-599826,22,2,gummies,11,"https://www.cvs.com/bizcontent/merchandising/productimages/large_im/50428636893.jpg?im=Resize=(300,300)",,,,,
CVS,"Vitafusion Power Zinc Gummy Vitamins, 90 CT",https://www.cvs.com/shop/vitafusion-power-zinc-gummy-vitamins-90-ct-prodid-443578 ,15,3,gummies,5,"https://www.cvs.com/bizcontent/merchandising/productimages/large_im/27917003863.jpg?im=Resize=(300,300)",,,,,
CVS,"Sundown Essential Zinc Caplets, 50 mg, 100 CT",https://www.cvs.com/shop/sundown-essential-zinc-caplets-50-mg-100-ct-prodid-134939,50,1,capsule,50,"https://www.cvs.com/bizcontent/merchandising/productimages/large_im/30768006914.jpg?im=Resize=(300,300)",,,,,
CVS,Nature's Truth Rapid Release Zinc 50 mg plus Vitamin C Softgels,https://www.cvs.com/shop/nature-s-truth-rapid-release-zinc-50-mg-plus-vitamin-c-softgels-prodid-596862 ,50,1,capsule,50,"https://www.cvs.com/bizcontent/merchandising/productimages/large_im/840093115416.jpg?im=Resize=(300,300)",,,,,
CVS,"Nature's Truth Zinc Gummies, 50 mg, 60 CT",https://www.cvs.com/shop/nature-s-truth-zinc-gummies-50-mg-60-ct-prodid-270902,50,3,gummies,16.66666667,https://www.cvs.com/bizcontent/merchandising/productimages/large_im/840093115614.jpg ,,,,,
CVS,"CVS Children's Immune C + Zinc Gummies, 190 CT",https://www.cvs.com/shop/cvs-childrens-immune-c-zinc-gummies-190-ct-prodid-281277 ,1.2,1,gummy,1.2,"https://www.cvs.com/bizcontent/merchandising/productimages/large_im/428651056.jpg?im=Resize=(300,300)",,,,,
